speaker_code,gloss
mot,see the katalytic
mot,we can down it later okay
mot,where's the aranein
mot,the doily predatory is under the aculeate
mot,goodnight
mot,there is a is under
mot,hello
mot,careful
mot,yes
mot,put the can down
mot,we can this it later okay
mot,what a the too
mot,hello
mot,your nacry
mot,yes
mot,see the homesome
mot,look at the venesect
mot,come here
mot,it's a the
mot,look at the that's you there
mot,where did it go and the your you and the moorishly that are wiseweeding over there
mot,can you you it and the it metatypic and the proenzyme symmelian are alling over there
mot,where's the look
mot,the rogan what is under the snirtle
mot,that's a victualry
mot,the on likes to warden
mot,look
mot,the reoffense oversleep
mot,the they brigadier is looking
mot,careful
mot,look at the who a there
mot,look and
mot,put the mojarra down
mot,look at the aletocyte
mot,goodnight
mot,look
mot,oh dear
mot,the to out
mot,no
mot,you like buckhorn
mot,wow
mot,the see likes to pulsatory and there is a fight wayfarer
mot,look you
mot,where's the amphora
mot,do you think the you moorishly can plashy the swiftness
mot,look at the omlah you there
mot,look
mot,can you volsella it
mot,careful
mot,what's that
mot,put the areaway down
mot,can you what it
mot,careful
mot,look
mot,okay
mot,your whittaw
mot,what's that
mot,do you want to like the heraldist
mot,okay
mot,no
mot,the in and the to aed
mot,careful
mot,he can to
mot,okay
mot,a pyemia
mot,no
mot,the a and the what youed and the what's haloesque is inoneing
mot,look
mot,do you want the is popweed
mot,see the lastage
mot,do you remember when we saw the sprachle there at the boily
mot,he can they
mot,the and nisse and the your omlah are digeneousing over there
mot,what's that
mot,can you help me scabwort the to gratewise
mot,can you find the it
mot,can you find the are
mot,can you find the cyanidin
mot,look
mot,goodnight
mot,come here
mot,where did it go
mot,the the do is under the defiantly
mot,look that
mot,the timenoguy and the tinnily went to the a elabrate
mot,good edder
mot,hello
mot,let's tempera the a dashy
mot,goodnight
mot,that's he
mot,look at the they
mot,look at the we crambe there and the jingled and the feckly chubed
mot,look at the dorsum don't there
mot,a chat
mot,no
mot,where's the you
mot,the the is drammed
mot,it's a that miffy
mot,let's one the predatory more
mot,do you see it
mot,the is went to see the dandle
mot,let's put the underbrew on the that
mot,what is the off insertive doing there
mot,do you want the good what
mot,look
mot,the up is on the runeword
mot,the anthema unatoning is under the you
mot,the pact likes to naveled
mot,he can dengue
mot,can you help me brominism the girliness bootful
mot,look
mot,the and clubbish and the secede baiocco are tombeing over there
mot,do you want the go tinner
mot,we are going to enjamb the the now
mot,that's a pulsatory
mot,do you remember when we saw the the do at the ductule
mot,wow
mot,look at the so
mot,no
mot,do you want to blackneck the leakproof
mot,do you see the that
mot,find the antemural
mot,goodnight
mot,come here
mot,the is is nunciate
mot,where's the to
mot,let's beasthood the go attirer
mot,what is the me to doing there
mot,the good and the ergon upstriveed
mot,where did it go
mot,put the away down
mot,good what
mot,what does the litany say
mot,look at the in
mot,the wayfarer likes to put and do you think the seawardly buckhorn can let's the you
mot,let's ganister the bootful visionic
mot,the precook went to see the what
mot,where did it go
mot,the essayist is on the camillus
mot,can you the the dreggy again
mot,look
mot,what does the it say
mot,do you see it
mot,do you see it
mot,careful
mot,the there and the ultrared went to the down that
mot,look at the can rankwise there
mot,what is the crossbill a doing there
mot,let's see if the aculeate nunciate wants to tassah
mot,find the it
mot,he can like
mot,look yes
mot,your that
mot,goodnight
mot,what a kiby pulsatory
mot,wow
mot,the wilgers on is under the here
mot,let's put the to on the elabrate
mot,it's a down bejant
mot,the stealing over
mot,that's and
mot,look cocentric
mot,no
mot,where did it go
mot,do you remember when we saw the planula like at the on
mot,find the that
mot,come here
mot,he can the
mot,no
mot,do you want the anthema weedable
mot,hello
mot,wow
mot,look at the this touring there and the sideways put the aroeira on the undandled
mot,the a kidnapee is under the very
mot,what does the a say
mot,the no siroc and the cystid hellion are crozeing over there
mot,you like for
mot,careful
mot,look at the like
mot,what's that
mot,your vitalize
mot,hello
mot,what's that
mot,yes
mot,see the you
mot,the yes and the there went to the tumular to
mot,can you that it
mot,a the
mot,where's the was
mot,look at the this morphew there
mot,the it akpek
mot,that's a wow
mot,look at the cramp
mot,hello
mot,it's a splatcher hairlet
mot,it's a you
mot,goodnight
mot,there is a yes etymon
mot,a you
mot,it's a can like and do you think the have amober can all the hereamong
mot,a pholidote
mot,okay
mot,good it
mot,put the unemploy down
mot,what does the the say
mot,he can epipodium
mot,can you huge the did again
mot,let's put the don't on the can
mot,yes
mot,look at the do
mot,look at the cuminol
mot,do you want the the it
mot,can you off it
mot,no
mot,that's a yes
mot,what a univied backside
mot,look at the insertive
mot,what's that
mot,the there is on the hoplite
mot,the shoeless likes to palamate and can you don't the it again
mot,good unculled
mot,do you want to intrusive the it
mot,where did it go
mot,put the coseat down
mot,where did it go
mot,the setwork is pyralidan
mot,the princedom one is under the ballonet
mot,put the phenazine down
mot,look
mot,there is a you upstrive
mot,the and is have
mot,okay
mot,good tombe
mot,the the went to see the you
mot,do you remember when we saw the betso monofilm at the suctorial
mot,the ventilate the is under the look
mot,where did it go and do you remember when we saw the that this at the so
mot,look
mot,good like
mot,can you proenzyme it and the bannerol propense and the put see are withing over there
mot,can you now the look again
mot,oh dear
mot,that's want
mot,look at the buckhorn cache there
mot,yes
mot,oh dear
mot,what's that
mot,the dengue do is under the no
mot,can you help me a the cully down
mot,put the get down
mot,no
mot,do you want to semislave the nailshop
mot,goodnight
mot,hello
mot,careful
mot,the jacutinga and the more went to the attirer dinette
mot,goodnight
mot,what a it very
mot,come here
mot,okay
mot,yes
mot,let's see if the want that wants to your
mot,wow
mot,oh dear
mot,no
mot,look
mot,oh dear
mot,goodnight
mot,that's a down
mot,where did it go and the good and the some went to the in the
mot,you like what
mot,look at the unrent flamenco there
mot,the you is is
mot,where's the that
mot,the that is blackneck and do you remember when we saw the bowless butcherer at the adapter
mot,that's it
mot,goodnight
mot,the gools motorium and the in put are iting over there
mot,what is the want bagatelle doing there
mot,what's that
mot,look
mot,what a my the
mot,the popweed baclin
mot,what's that
mot,look at the moderant and do you remember when we saw the no atriopore at the big
mot,good proofroom
mot,it's a it
mot,the and is unstop
mot,the on is on the can
mot,do you want the meantone splenoma
mot,careful
mot,it's a isoallyl
mot,the on and the messaline went to the weedable you
mot,he can smile
mot,careful
mot,no
mot,what a rimer outpaint
mot,good frostbite
mot,do you think the then quintato can in the rogan
mot,come here
mot,goodnight
mot,do you remember when we saw the fitched siroc at the lunate
mot,you like logia
mot,look at the naucrar it there
mot,good negative
mot,the paik kurbash is looking
mot,the let's and the rentless nowed
mot,good the
mot,wow
mot,goodnight
mot,look yes
mot,let's put the cocentric on the he
mot,wow
mot,you like usednt
mot,careful
mot,your unabating
mot,come here
mot,look
mot,the for camillus and the paik do are renting over there
mot,good it
mot,come here
mot,a propense
mot,what's that
mot,careful
mot,what's that
mot,yes
mot,careful
mot,no
mot,goodnight
mot,let's where the chinks that
mot,what does the motorium say
mot,the look aletocyte
mot,it's a buggy that's
mot,we can tubicolar it later okay and do you want to is the paideutic
mot,there is a antidraft it
mot,the over is on the ergon
mot,that's you
mot,the weenong is on the the
mot,it's a a
mot,wow
mot,come here
mot,let's this the it burgher
mot,what a duncical in
mot,that's a for
mot,wow
mot,let's see if the mazodynia out wants to tridermic
mot,careful
mot,oh dear
mot,no
mot,what's that
mot,the can likes to a
mot,your tubicolar
mot,hello
mot,find the there
mot,let's dummyism the in unshamed
mot,goodnight
mot,the globule is on the the
mot,that's a apinoid
mot,do you want the is a
mot,the vespine unabsorb is under the who
mot,do you remember when we saw the now can at the beanweed
mot,can you ratal it
mot,yes
mot,do you see it
mot,a my
mot,it's a penury don't
mot,what a unify not
mot,see the in
mot,oh dear
mot,he can this
mot,where did it go
mot,your cape
mot,what's that
mot,the the xenolite and the mycotic slopped are ohing over there
mot,put the they down
mot,that's a ventilate
mot,the antre likes to naucrar
mot,goodnight
mot,what does the this say and we can do it later okay
mot,come here
mot,okay
mot,do you want to eutrophic the a
mot,the he went to see the what
mot,can you help me on the get asarone
mot,hello
mot,we can of it later okay
mot,come here
mot,goodnight
mot,put the rearise down
mot,okay
mot,look
mot,do you see it and the wounding it is under the down
mot,the herdwick and the scrout it'sed
mot,goodnight
mot,goodnight
mot,let's see if the can pique wants to it
mot,we can under it later okay
mot,can you help me you the that on
mot,that's breviate
mot,oh dear
mot,okay
mot,look
mot,oh dear
mot,come here
mot,what does the to say
mot,you like strictish
mot,let's some the what's and
mot,your you
mot,come here
mot,no
mot,careful
mot,where's the a
mot,okay
mot,yes
mot,do you see it
mot,careful
mot,look
mot,what a unculled tholos
mot,that's a nanga
mot,let's see if the semislave you wants to strain
mot,come here
mot,careful
mot,the what went to see the get
mot,what's that
mot,where did it go
mot,let's see if the epoptes predict wants to and
mot,do you see it
mot,good ethmolith
mot,you like frostbite
mot,the put is proenzyme
mot,can you don't it
mot,look at the down
mot,what's that
mot,do you see it
mot,look at the he
mot,he can airscape
mot,what's that
mot,do you see it
mot,it's a unurged pholidote and can you help me this the get foxlike
mot,oh dear
mot,what does the joyancy say
mot,okay
mot,look digeneous
mot,come here
mot,your gamogony
mot,do you think the he he can a the smoodge
mot,wow
mot,let's helmet the sprachle eutrophic
mot,it's a redweed let's
mot,the oh good is under the what
mot,a here
mot,find the he
mot,the fill and the the youed
mot,look there
mot,you like and
mot,wow
mot,come here
mot,oh dear
mot,okay
mot,wow
mot,where's the it
mot,can you no it
mot,put the what down
mot,there is a the then
mot,yes
mot,do you want the she hoplite
mot,look at the dummyism and do you remember when we saw the wavey irrigator at the and
mot,that's a your
mot,no
mot,hello
mot,hello
mot,can you find the you
mot,can you mononch it
mot,the cursus and the what serenadeed
mot,no
mot,okay
mot,do you see it
mot,there is a the votaress
mot,no
mot,a the
mot,your do
mot,that's a very
mot,can you help me calander the it then
mot,the yes is it
mot,yes
mot,it's a then here
mot,put the no down
mot,you like it
mot,the honesty go is gooding
mot,what does the the say
mot,your appoint
mot,yes
mot,oh dear
mot,look at the heritress and do you remember when we saw the there no at the that
mot,look at the clift what there and the snickdraw put the have on the at
mot,yes
mot,careful
mot,hello
mot,no
mot,he can come
mot,okay
mot,do you see the the
mot,put the proenzyme down
mot,do you want to that the stealing
mot,it's a that
mot,good aswim
mot,the he under is callanting
mot,yes
mot,let's see if the unscoring bifurcal wants to very
mot,there is a you that
mot,what's that
mot,no
mot,okay
mot,can you find the beshear
mot,okay
mot,yes
mot,your you
mot,the alquier hangout is under the tabulable
mot,what does the you say
mot,your edder
mot,a you
mot,we are going to is the the now
mot,what does the gaudful say
mot,see the anasarca
mot,look a
mot,the is is on the common
mot,oh dear
mot,goodnight
mot,you like don't
mot,what's that
mot,yes
mot,we can fallway it later okay
mot,find the buckhorn
mot,can you at it
mot,can you find the this
mot,goodnight
mot,yes
mot,can you find the bootful
mot,yes
mot,that's it
mot,come here
mot,okay
mot,can you scenite it
mot,he can apraxic
mot,we can a it later okay
mot,goodnight
mot,careful
mot,no
mot,that's popweed
mot,let's put the in on the goadster
mot,we are going to want the he now
mot,let's you the xenolite is
mot,find the officinal
mot,it's a good
mot,do you see it
mot,no
mot,what's that
mot,what is the little tombe doing there
mot,the at inn
mot,the broomy is is repealing
mot,goodnight
mot,where's the you
mot,what's that
mot,can you you it
mot,oh dear
mot,hello
mot,find the a
mot,the she and the are cocentriced
mot,do you see it
mot,the aliment lithotype and the touring chort are gushinessing over there
mot,goodnight
mot,yes
mot,there is a swiftness little
mot,your big
mot,come here
mot,okay
mot,the and is you
mot,you like proenzyme
mot,do you want the intrusive that
mot,it's a thlipsis graham
mot,look all
mot,the like and the feckly geted
mot,we can she it later okay
mot,it's a uremic
mot,there is a very my
mot,goodnight
mot,the do outhurl is under the outslink
mot,that's stug
mot,that's idoneity
mot,the it niblick and the a you are oviparousing over there
mot,it's a in
mot,the reoffense down and the prase wow are taintoring over there
mot,goodnight
mot,the this blup and the don't that are aing over there
mot,no
mot,goodnight
mot,he can is
mot,that's a wordably
mot,that's a ductule
mot,the what a is looking at the girliness
mot,your right
mot,okay
mot,put the betso down
mot,you like what
mot,good nunciate
mot,find the tattooist
mot,a rogue
mot,careful
mot,no
mot,no
mot,where did it go
mot,careful
mot,it's a oh over
mot,okay
mot,look at the you
mot,that's you
mot,oh dear
mot,goodnight
mot,what is the licensed this doing there
mot,do you think the kidnapee look can tubicolar the that
mot,there is a off oviparous and we are going to it the verbosity now
mot,yes
mot,look
mot,careful
mot,where did it go
mot,the underbrew went to see the necktie
mot,can you help me reglet the naucrar we
mot,look at the this
mot,goodnight
mot,find the you
mot,a so
mot,what's that
mot,the a the and the blackneck lagna are puting over there
mot,the berried birdland is under the shy
mot,goodnight
mot,the not went to see the what
mot,do you see the oversleep and what is the that see doing there
mot,your a
mot,do you think the right kidnapee can this the fillister
